"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"384","ENSG00000211663.2","IGLV3-19",2.38206596638454e-31,-3.67070636544364
"385","ENSG00000243290.3","IGKV1-12",2.5424648283516e-31,-4.00240588086331
"386","ENSG00000138135.6","CH25H",2.65936388228958e-31,-2.58603787108241
"387","ENSG00000253132.1","IGHV3-62",2.7029243276589e-31,-2.77555573068707
"388","ENSG00000198758.10","EPS8L3",2.73612367057021e-31,3.36027331563635
"389","ENSG00000198300.13","PEG3",4.01315492306207e-31,-2.1701380869919
"390","ENSG00000177138.15","FAM9B",4.46075243335563e-31,-2.47060230356508
"391","ENSG00000211648.2","IGLV1-47",4.89491896520897e-31,-3.62818221310898
"392","ENSG00000211653.2","IGLV1-40",4.93119869918899e-31,-3.56117254325041
"393","ENSG00000211950.2","IGHV1-24",5.23292048320063e-31,-3.6918597412314
"394","ENSG00000211892.4","IGHG4",5.58658440871492e-31,-3.60909042160488
"395","ENSG00000259108.2","LINC01595",7.44144920690983e-31,-2.14702968616634
"396","ENSG00000174348.13","PODN",9.71631698909058e-31,-2.20384860243521
"397","ENSG00000099953.9","MMP11",1.04032686612135e-30,2.26049607724195
"398","ENSG00000211650.2","IGLV5-45",1.07279595668301e-30,-3.06106868360417
"399","ENSG00000125740.13","FOSB",1.2043703043012e-30,-2.82928900029323
"400","ENSG00000073756.11","PTGS2",1.39872019613724e-30,-2.5776912552868
"401","ENSG00000211637.2","IGLV4-69",1.43852856225381e-30,-3.22322451169123
"402","ENSG00000253417.5","LINC02159",1.47471659181582e-30,2.88488931200338
"403","ENSG00000211632.4","IGKV3D-11",1.94879305567615e-30,-2.97583228729804
"404","ENSG00000211644.3","IGLV1-51",1.96507717938282e-30,-2.76545863784522
"405","ENSG00000066468.22","FGFR2",2.27613454137134e-30,-2.67804385621188
"406","ENSG00000244116.3","IGKV2-28",2.38545802702631e-30,-4.0165190107879
"407","ENSG00000205358.3","MT1H",2.51296751234878e-30,-4.29255351199278
"408","ENSG00000068366.19","ACSL4",3.35729034019014e-30,2.24418305636481
"409","ENSG00000285094.1","LINC01488",3.72134925647593e-30,-5.64989983341655
