"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"222","ENSG00000269887.1","AL391001.1",7.54887256206144e-42,-2.38868471767046
"223","ENSG00000101405.3","OXT",1.346108206474e-41,-3.5611097743292
"224","ENSG00000072080.10","SPP2",3.35015785319359e-41,-2.66267375758741
"225","ENSG00000228477.1","AL663070.1",4.18320087242219e-41,-3.72973460173473
"226","ENSG00000166482.11","MFAP4",4.96247359457508e-41,-3.71930224101495
"227","ENSG00000205866.3","FAM99A",5.7720839772315e-41,-3.52380052586181
"228","ENSG00000235529.1","AGAP1-IT1",8.3607416058918e-41,-2.76164868464784
"229","ENSG00000125551.18","PLGLB2",1.00945947200707e-40,-2.29909011857278
"230","ENSG00000158125.9","XDH",1.95202860397418e-40,-2.01242550027503
"231","ENSG00000198670.11","LPA",2.87370071912446e-40,-2.68055341974071
"232","ENSG00000174992.7","ZG16",4.1481953752248e-40,-2.47801564442045
"233","ENSG00000133800.8","LYVE1",5.04707002266229e-40,-3.43496642165827
"234","ENSG00000189369.8","GSPT2",6.40112271262674e-40,-2.0694106138347
"235","ENSG00000187193.8","MT1X",7.62145311677334e-40,-3.01273854261844
"236","ENSG00000235510.1","BX842568.4",7.86678516677893e-40,-2.27970269941274
"237","ENSG00000130558.19","OLFM1",9.94222215027207e-40,-2.12560446389951
"238","ENSG00000169894.17","MUC3A",1.65891642716653e-39,-3.67282981888348
"239","ENSG00000223956.2","LINC01767",2.80153626453448e-39,-2.33992946195163
"240","ENSG00000136872.18","ALDOB",4.9062942943318e-39,-2.22846917327081
"241","ENSG00000179178.10","TMEM125",5.73085960433617e-39,-3.71501805011064
"242","ENSG00000120738.7","EGR1",6.32890929880782e-39,-2.21189677557326
"243","ENSG00000147257.13","GPC3",7.37886050876711e-39,3.9317722465566
"244","ENSG00000110243.11","APOA5",7.87904428287669e-39,-2.35679590082993
"245","ENSG00000149124.10","GLYAT",9.16043516976611e-39,-2.64540244210538
"246","ENSG00000198099.8","ADH4",9.16043516976611e-39,-3.3186895473425
"247","ENSG00000198681.6","MAGEA1",1.02602949104254e-38,5.25258441082183
"248","ENSG00000147889.17","CDKN2A",1.45981255269219e-38,2.13545778318625
"249","ENSG00000175003.13","SLC22A1",2.28113876953603e-38,-3.50614793454686
"250","ENSG00000101981.11","F9",2.52278599582005e-38,-2.40369735340489
"251","ENSG00000162745.10","OLFML2B",3.50090125757574e-38,2.20410513843159
"252","ENSG00000214161.3","SDC4P",3.61933958498601e-38,-2.73191929352674
"253","ENSG00000158825.5","CDA",6.38075683332208e-38,-2.1023004052228
"254","ENSG00000170345.9","FOS",7.6316977204805e-38,-2.40944243609579
"255","ENSG00000258604.1","AL161668.4",8.45987282520888e-38,-2.21192770327495
"256","ENSG00000176933.5","TOB2P1",9.44196488195804e-38,2.29963175314884
"257","ENSG00000204583.9","LRCOL1",1.15827960750203e-37,-2.91016828957829
"258","ENSG00000107807.12","TLX1",1.50664053510589e-37,2.7950890244231
"259","ENSG00000224189.7","HAGLR",2.05940831058452e-37,3.35247028723256
"260","ENSG00000243930.1","RPS12P21",2.27489889026459e-37,-3.02879595663552
"261","ENSG00000145920.14","CPLX2",2.62383938346925e-37,5.66079226735611
"262","ENSG00000154153.13","RETREG1",3.13722526243616e-37,-2.84149430817025
"263","ENSG00000132465.10","JCHAIN",3.70581045450316e-37,-3.49355438506787
"264","ENSG00000134853.11","PDGFRA",6.13160608840831e-37,-2.79692070182125
"265","ENSG00000260518.2","BMS1P8",6.84205129011039e-37,2.92746801188906
"266","ENSG00000109758.8","HGFAC",9.5690204606784e-37,-3.54639532605228
"267","ENSG00000148965.9","SAA4",1.05354444304203e-36,-2.32155196713194
"268","ENSG00000113600.10","C9",1.18768798790916e-36,-3.95750243633085
"269","ENSG00000280650.1","KCNIP4-IT1",1.71539114005848e-36,-3.1844138898725
"270","ENSG00000124253.10","PCK1",1.81706093896248e-36,-2.85133019636095
