"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"928",-3.37121813515232,"GCGR",1.02562569260893e-19,-3.22303795751751,"GCGR",3.84791420578304e-10,-0.0328641649554052
"930",-4.09864808295302,"IGHV3-48",1.4842243956978e-19,-2.88611334505507,"IGHV3-48",2.98433711153219e-06,-1.10667288755027
"939",-2.28090217604085,"ID4",1.73673860323791e-19,-1.81052402246807,"ID4",2.87474434482551e-07,-0.394697523836088
"942",-2.64473869420745,"IGHV3-47",2.41722778281942e-19,-1.67844035776174,"IGHV3-47",5.70104426477793e-05,-0.894323996963017
"943",-3.29110123087038,"IGKV5-2",2.52241163524221e-19,-2.01648189025737,"IGKV5-2",6.70894294262304e-05,-1.19315949783117
"950",-3.44931748438761,"IGHGP",2.83397998413683e-19,-2.46122902583466,"IGHGP",2.98084075384802e-06,-0.89414893497372
"952",2.85994588325041,"AP000525.1",3.01065221135769e-19,2.40721847415051,"AP000525.1",3.75454409633616e-08,0.410057461996881
"954",-2.05974585638724,"TTYH1",3.10670269013427e-19,-1.67435986596218,"TTYH1",1.20341286673298e-07,-0.31352615024114
"960",-4.52678862146125,"IGHV4-59",2.91659184575691e-19,-2.87043256760227,"IGHV4-59",1.14912777407994e-05,-1.55093420881231
"961",2.32375914109017,"COL15A1",2.60857343127525e-19,2.4197218326081,"COL15A1",2.9618368377211e-11,-0.138983485000754
"963",2.93754307084813,"AL731684.1",3.79410353176435e-19,3.09051344383756,"AL731684.1",7.51704964892687e-12,-0.214813693971715
"964",-2.62905247296887,"TREH",3.14855831430946e-19,-2.9591030310459,"TREH",2.39349178221613e-11,0.437960511514766
"965",-3.29332318550547,"MT1M",3.10670269013427e-19,-3.13920784654003,"MT1M",4.08716034241163e-08,-0.0411516135578821
"969",4.38640228578515,"MAGEC2",4.26360820694279e-19,2.9649334002042,"MAGEC2",1.5080649410757e-05,1.36314936213146
"972",-3.39526383927212,"IGHV3OR16-9",4.39217395326217e-19,-2.31588474608894,"IGHV3OR16-9",1.30203927749407e-05,-0.989517954987137
"973",-3.11782919902599,"SLC22A1",2.87114843048601e-19,-3.53993540552534,"SLC22A1",1.46520556784363e-13,0.546314415845769
"976",-3.16317414518891,"HPGD",3.0222680210848e-19,-1.51143584488599,"HPGD",0.00168945106432356,-1.58445013605485
"977",-2.83219728870341,"IGHV3-41",5.02897788262212e-19,-1.96951345110717,"IGHV3-41",1.07602718066299e-05,-0.78254193726137
"979",-3.72636443395287,"IGHV3-69-1",5.06590802106043e-19,-2.48053987980233,"IGHV3-69-1",1.41886212375381e-05,-1.15134316470155
"981",-2.40835241214778,"NPW",4.39337749934257e-19,-0.916025247169828,"NPW",0.0113338616348704,-1.44174632407944
"984",-3.18487137424689,"AL390726.5",5.63620097883767e-19,-2.55501926464568,"AL390726.5",9.03481826660871e-08,-0.533280815857225
"987",-4.44148894929163,"IGKV1D-39",4.47305703551185e-19,-2.71110767625498,"IGKV1D-39",3.04707001938179e-06,-1.62943011172921
"995",-2.4735847286402,"IL7R",5.25700849288442e-19,-1.53890825390482,"IL7R",1.1573640235579e-05,-0.866617429984968
"996",-2.03286197605295,"AC020659.1",7.0989220752417e-19,-1.7322424969924,"AC020659.1",6.02834980268538e-08,-0.227135442336202
"998",-4.32377328524318,"IGKV4-1",5.96196572463146e-19,-2.38128987740805,"IGKV4-1",5.6632466406912e-05,-1.85078699045215
"1004",-2.4497423639695,"IGLV2-28",8.4394204325077e-19,-1.99587683607111,"IGLV2-28",3.99165569329962e-07,-0.3729838664661
"1007",-2.16432821575429,"APOA5",5.44183819000891e-19,-2.13265782414978,"APOA5",2.47541882270107e-10,0.0530493677801317
"1008",2.70567133135814,"NCAPD2P1",8.75102517996113e-19,2.82429723075205,"NCAPD2P1",1.91376008337428e-11,-0.172999147841417
"1012",-3.99882367552204,"IGLC3",6.2434295047715e-19,-2.78096561303464,"IGLC3",1.94430515326253e-06,-1.11494667550915
"1013",-3.2826165706755,"SLCO1B3",5.89084026598171e-19,-4.77606962436772,"SLCO1B3",1.18583903789592e-12,1.65234740093553
"1015",-3.65163723808658,"IGLC7",9.37680524494633e-19,-3.00239739395768,"IGLC7",2.27356114555131e-07,-0.540115043452712
"1018",-4.32587449477999,"IGHV3-23",7.63726903092779e-19,-2.16605565556067,"IGHV3-23",0.000198443271507801,-2.07416193096515
"1023",-3.11445615704816,"IGHJ1",1.02167428649267e-18,-1.65691593977799,"IGHJ1",0.000639538629078192,-1.38616985664265
"1024",-2.69710600230637,"AC135068.8",1.02167428649267e-18,-1.70059116430785,"AC135068.8",6.20649211811761e-05,-0.923918943090313
"1026",-2.03383408030887,"AL135924.2",1.02911320910364e-18,-2.13336128042918,"AL135924.2",1.26891721891444e-10,0.184266698608634
"1028",3.41602848582841,"PITX1",1.08359551136702e-18,3.67477697397112,"PITX1",5.60707617690997e-12,-0.336986343848997
"1029",-4.06533552327609,"IGKV1-17",1.05777108761162e-18,-2.82501806124818,"IGKV1-17",6.5353339758839e-06,-1.13616995580781
"1033",-3.8853774148794,"IGKV6D-21",1.17332515196382e-18,-2.55409984945482,"IGKV6D-21",4.5142216586568e-05,-1.23473207062832
"1034",-2.74228447774904,"MIR4537",1.18414615777312e-18,-2.10901497119138,"MIR4537",9.2754416325811e-07,-0.549213169676409
"1038",-2.62597005718462,"FAM9B",1.13497601718418e-18,-1.7268669204843,"FAM9B",4.67244740679253e-05,-0.825769939573479
"1041",2.22996360490156,"BRDTP1",1.29760999145368e-18,1.46055669865721,"BRDTP1",4.86311796777044e-05,0.753300450699092
"1042",2.02542687402287,"MYBL2",1.11388493038666e-18,3.1171422036912,"MYBL2",8.645882728731e-23,-1.15430585821289
"1045",-3.60014475936751,"IGHV3-53",1.2808746857767e-18,-2.63528353171436,"IGHV3-53",3.7246777881159e-06,-0.866037704828132
"1047",-3.70463692466952,"IGLV9-49",1.33963883479016e-18,-2.85175703810496,"IGLV9-49",1.48836824894878e-06,-0.747982080074196
"1049",-3.24075487147634,"H19",9.53835497072917e-19,-0.328359791412653,"H19",0.622709573986026,-2.87830423250484
"1050",-2.1100851397922,"CYP2C9",1.07682789422182e-18,-2.51821594954005,"CYP2C9",1.44697325418522e-14,0.503669396166564
"1052",-2.26312786964152,"FAM201A",1.39504966258323e-18,-1.44280430958562,"FAM201A",3.94379906391078e-05,-0.754961208443077
"1057",-2.86929270797229,"LINC01831",1.51035530662775e-18,-1.50006387514269,"LINC01831",0.00104221728701107,-1.30225976800024
"1060",-2.33344142453761,"AL161645.1",1.6295780447145e-18,-2.84805691759812,"AL161645.1",2.34194791847789e-12,0.619409473535722
"1063",-3.81842677349763,"IGLC2",1.08158204166861e-18,-2.91323937857014,"IGLC2",1.36674584319035e-06,-0.79856438343342
"1066",-2.07160270257997,"MIR429",1.81205207243375e-18,-2.3526927862325,"MIR429",2.79982642391928e-12,0.371984061759217
"1068",-3.48918568738099,"IGHV3OR16-8",1.83413069839357e-18,-2.47952953486701,"IGHV3OR16-8",1.24037189538867e-05,-0.915203113516922
"1069",-3.92634802863124,"IGKV1D-13",1.81205207243375e-18,-3.04218655527729,"IGKV1D-13",8.12090682325301e-07,-0.773920181996333
"1074",-3.42299400782509,"IGHV3-64",1.9573924107504e-18,-2.55758178005678,"IGHV3-64",2.68086412475692e-06,-0.768769029403
"1080",2.64106201839468,"BMS1P8",1.90777927454782e-18,2.97299109001141,"BMS1P8",2.34215199769833e-13,-0.390474695222269
