"","M_HBV_unfiltered.logFC","M_HBV_unfiltered.gene_name","M_HBV_unfiltered.adj.P.Val","F_HBV_unfiltered.logFC","F_HBV_unfiltered.gene_name","F_HBV_unfiltered.adj.P.Val","residuals"
"4394",-2.76004876641691,"IGKV1D-39",2.29611194188035e-05,-0.385436577950526,"IGKV1D-39",0.819124643793217,-2.40759135247614
"4395",2.67228468216805,"EEF1A2",2.74597223496687e-05,0.701886670011902,"EEF1A2",0.739260554092098,2.16024013944886
"4398",-2.54398592137858,"IGHG4",2.22019671340319e-05,-1.08996433835988,"IGHG4",0.493996166140577,-1.6313771186613
"4418",-2.77569386333805,"IGHV3-64D",3.92614338063645e-05,-0.671376708858559,"IGHV3-64D",0.722518456999011,-2.19589301392781
"4447",-2.71336533490693,"IGHG1",2.41827911183668e-05,-0.835086679042281,"IGHG1",0.625617594951586,-2.00340301804551
"4453",-2.41740516012881,"IGLV2-14",3.03545526190062e-05,-1.26171897851028,"IGLV2-14",0.383448557315151,-1.36823878563727
"4458",-2.27733705947223,"IGHV3-64",4.89089810989384e-05,-0.0427730643063056,"IGHV3-64",0.979547974410018,-2.19732234238037
"4461",-2.34893163425689,"IGHG3",2.50619391698908e-05,-0.829105891539774,"IGHG3",0.561788234329279,-1.64372448335737
"4472",-2.98082954570699,"IGKV3-11",3.34792590430807e-05,-0.254374944845647,"IGKV3-11",0.893506712028187,-2.73257576989733
"4489",2.48519048177612,"GAGE12F",5.47050526829765e-05,0.0105987116045068,"GAGE12F",0.996040219246186,2.52277071143126
"4494",-2.49984522919139,"IGLC3",2.77091730482868e-05,-0.751461439149226,"IGLC3",0.623570752488159,-1.85637112882785
"4508",-2.11621701918133,"IGHG2",2.51839768774971e-05,-0.844420948048585,"IGHG2",0.516311933607953,-1.39883327190806
"4512",3.25517320621172,"MYH4",4.91735549362559e-05,4.0560121257278,"MYH4",0.0239809654432735,0.0763522243948576
"4521",-2.44225693381625,"IGHV6-1",4.90449860757962e-05,-0.959481073047909,"IGHV6-1",0.559689497346012,-1.63339192429475
"4547",-2.20865156555615,"IGHV3OR16-8",6.23749491408224e-05,-0.773709744247995,"IGHV3OR16-8",0.61537660967758,-1.54748842623727
